City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
171,Ati,TD,13.2154,18.3353,78.3,65,92,10.02,overcast clouds
172,Baishishan,CN,43.5833,127.5667,44.28,45,58,11.5,broken clouds
173,Viedma,AR,-40.8135,-62.9967,56.73,59,97,18.37,overcast clouds
174,Victoria,SC,-4.6167,55.45,79.86,78,75,16.11,light rain
175,Yokote,JP,39.3,140.5667,75.36,74,100,4.59,light rain
176,Fredericksburg,US,38.3032,-77.4605,49.35,91,100,4.61,drizzle
177,Palāsa,IN,18.7667,84.4167,78.75,93,100,7.05,moderate rain
178,Hilo,US,19.7297,-155.09,79.29,91,100,4.61,overcast clouds
179,Yellowknife,CA,62.456,-114.3525,41.56,70,75,9.22,broken clouds
180,Ourém,BR,-1.5519,-47.1144,72.01,97,33,4.81,scattered clouds
181,Barrow,US,71.2906,-156.7887,21.22,93,40,6.91,scattered clouds
182,Oodweyne,SO,9.4092,45.064,75.2,54,28,15.46,scattered clouds
183,Al Bardīyah,LY,31.7561,25.0865,72.48,75,0,10.6,clear sky
184,Cidreira,BR,-30.1811,-50.2056,51.6,85,13,7.2,few clouds
185,Bristol,US,41.8334,-71.1662,54.43,80,100,5.01,overcast clouds
186,Rengasdengklok,ID,-6.1592,107.2981,89.73,61,100,3.96,overcast clouds
187,Los Llanos de Aridane,ES,28.6585,-17.9182,75.13,46,0,10.0,clear sky
188,Najrān,SA,17.4924,44.1277,66.85,14,1,2.86,clear sky
189,Canchungo,GW,12.0672,-16.0333,77.02,88,100,3.38,light rain
190,Reconquista,AR,-29.15,-59.65,56.37,68,2,7.99,clear sky
191,Kautokeino,NO,69.0125,23.0412,34.0,94,69,4.41,broken clouds
192,Kavaratti,IN,10.5669,72.642,81.84,76,100,14.67,overcast clouds
193,Bramming,DK,55.4695,8.7001,54.97,100,75,6.91,broken clouds
194,Matara,LK,5.9485,80.5353,82.83,73,99,16.06,overcast clouds
195,Muros,ES,42.7762,-9.0603,58.08,94,8,2.98,clear sky
196,Klaksvík,FO,62.2266,-6.589,52.72,87,100,38.72,overcast clouds
197,Newport,US,41.4901,-71.3128,54.79,76,100,8.01,overcast clouds
198,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,86,100,16.11,overcast clouds
